Title,Date Published,Category,Summary
Top 5 CSS Selectors You Need to Know.,"November 06, 2020","Data, web scraping, Tutorial","Scraping might get hard at times when you're dealing with website structures that frequently change or in general, are hard to scrape with just the point-and-click interface. No need to stress, with the knowledge of the CSS selector - any website structure can be overcome and any website - scraped. Here are the TOP 5 CSS selectors that we frequently use and might be of great use to you."
Scraping E-commerce the Fastest Way,"September 29, 2020","Data, E-commerce, Tutorial","In the previous blogs, we have gone through the classical way of scraping and exposed a tip of how to potentially prevent sitemaps from breaking when an e-commerce site changes product placements in designated categories. Now we are going to take a look at another scraping method which is - scraping with the “Sitemap.xml Links” selector."
Scraping E-commerce through Brands,"September 24, 2020","Data, E-commerce, Tutorial","In the previous blog, we explained how to retrieve the necessary data the classical way by going through the categories, sub-categories, then the products, etc. It is the most primitive and intuitive way of gathering data with Web Scraper extension; however, sometimes a problem arises when the website layout is changed or the placement of various products is altered. For this reason. previously created sitemaps for that specific website may break, or stop working properly."
Scraping E-commerce the Classical Way,"September 16, 2020","Data, E-commerce, Tutorial","With the enormous growth and development in technology, data being the main driver of modern and fast-growing companies, online business has evolved over the recent years. However, it comes as no surprise since ordering, reserving goods, and services online while not leaving the house is a huge time saver and accessible for everyone with a stable internet connection."
Data Transformation with OpenRefine,"August 27, 2020","Data, Data transformation, Tutorial","With cleaner data, we can begin to transform it. Data transformation can manifest in different forms. It can be clustering, merging, adding information, replacing strings, and so on. OpenRefine covers them all."
Web Scraper 0.5.0 Release,"August 21, 2020","Update, release","We are happy to announce thatWeb Scraper 0.5.0has been released! This release contains new features such as a new data selection UI engine, a new page load detection system, a welcome page, and a whole lot more!"
Data Cleaning with OpenRefine,"August 14, 2020","OpenRefine, Data, Data transformation, Tutorial","Data transformation is a step for preparing data sets for AI training and analysis. Clean and transformed data is a vital part of precise and correct data reports and analysis. In this blog series part, we will look at what importance it is to detect and delete blank, inconsistent and duplicate data entries."
Introduction to OpenRefine,"July 28, 2020","Data, Data transformation","As the saying goes “garbage in, garbage out”. This can be associated with the idea of data analysis without data transformation beforehand. With bad, messy data, only lousy, chaotic analysis can be done. However, with data transformation, not only the process of analysis becomes easier but also the precision increases."
Data Transformation with Web Scraper.,"July 06, 2020","Data, Data post processing, Parser","Have you ever been in a situation when you have two or more data sets of completely different structures? So different that it is impossible to analyze, manage, or integrate. It sounds like every professional’s worst nightmare."
In Need of Data?,"June 05, 2020","Data, collaboration","If you are a journalist or a data enthusiast and you are in need of data, look no further. We, Web Scraper, offer a collaboration."
3 Ways In Which Web Scraping Can Improve Your Business And Save You Time.,"May 29, 2020","Data, web scraping","Nowadays, with increasing digitalization, where new technologies are constantly arising and computational power is available almost to everyone, the necessity for data has escalated drastically."
The Instrumental Role of Big Data in Our Lives,"May 12, 2020","Big Data, Data, Global pandemic","Enormous amounts of data that traditional data-processing application software is not capable of dealing with, that is used for analyzing to reveal trends, patterns, associations of especially human behavior and interactions. The subject of Big Data and the usage has increased highly over recent years. With the immense development of technology and the large sets of data that are processed every day, the questions of how to take advantage of it is on everyone’s mind, regardless of the industry."
The Importance of Data Visualization,"April 29, 2020",,"As possibly one of the wisest investments in big data future, data visualization can be a crucial tool for any business. With the continuous advancements in technology and the huge increase in the necessity for big data, visual representation of it can display and showcase many factors of a business that would have been hard to do without data visualization. In this blog, we are gonna explore ways of data representation with the help of a highly easy and versatile tool."
Coronavirus Pandemic Google Trends Analysis,"April 08, 2020","Analysis, Google trends","Of everything going on, we took interest in what people are most searching for on google search engine while the coronavirus outbreak."
Is Sports Arbitrage Betting Real?,"March 09, 2020",Sports Arbitrage Betting,"Imagine a scenario where you invest an amount of money and there is a guaranteed profit! Hard? Impossible? Not at all! Let us provide you with a mathematically proven strategy, which, when applied correctly, actually provides such possibilities."
The Ultimate Tool for Big Data Access Using Google Sheets,"February 03, 2020","Google Sheets, Query Function","Imagine learning a function, which can work as various other functions; therefore, replacing them with only one and making work with big data easier. With the query function of Google Sheets that scenario is not that absurd because it provides exactly what described. Accessing, summarizing, filtering data from various spreadsheets with only one function - thanks to Google Sheets, the opportunity to do exactly that has been around for quite some time already."
Web Scraper Cloud Parser feature release,"December 23, 2019","Data post processing, Web Scraper Cloud, Parser",We are happy to finally introduce a Parser feature for Web Scraper Cloud.
How to find all the local restaurants in Yellow Pages using Web Scraper,"September 02, 2019","Yellow Pages, Tutorial","Have you ever planned a trip to a different state, city or even a country but did not know any places to have a delicious dinner at? We all know that Yellow Pages is the go-to site if we want to find restaurants in specific areas but it can often be frustrating to get boggled up with bottomless pages on it. Luckily, Web Scraper is here to solve this by allowing you to extract all the information you need from Yellow Pages. So you can enjoy great meals during your trip."
Web Scraper 0.4.0 release,"April 17, 2019","Sitemap.xml, release","We are happy to announce thatWeb Scraper 0.4.0has been released. This release contains a new selector, updates to other selectors and improved CSS selector generator. Starting from version 0.4.0 Web Scraper is also available inFirefox."
